rank_among_missing,simplified,zipf,pinyin,meaning_cedict,in_cedict
577,团队,5.03,tuan2 dui4,team,yes
578,安排,5.03,an1 pai2,to arrange; to plan; to set up; arrangements; plans,yes
579,怎么办,5.03,zen3 me5 ban4,what's to be done,yes
580,我要,5.03,,,no
581,收入,5.03,shou1 ru4,"to take in; income; revenue; CL:筆|笔[bi3],個|个[ge4]",yes
582,是因为,5.03,,,no
583,普通,5.03,pu3 tong1,common; ordinary; general; average,yes
584,本来,5.03,ben3 lai2,original; originally; at first; it goes without saying; of course,yes
585,本身,5.03,ben3 shen1,itself; in itself; per se,yes
586,毛泽东,5.03,Mao2 Ze2 dong1,"Mao Zedong (1893–1976), leader of the Chinese Communist Party 1935–1976",yes
587,规则,5.03,gui1 ze2,rule; regulation; regular; orderly; fixed,yes
588,贸易,5.03,mao4 yi4,(commercial) trade; CL:個|个[ge4],yes
589,面临,5.03,mian4 lin2,to face sth; to be confronted with,yes
590,一张,5.02,,,no
591,依据,5.02,yi1 ju4,according to; basis; foundation,yes
592,关键,5.02,guan1 jian4,crucial point; crux; CL:個|个[ge4]; key; crucial; pivotal,yes
593,劳动,5.02,lao2 dong4,work; toil; physical labor; CL:次[ci4],yes
594,听到,5.02,ting1 dao4,to hear,yes
595,推荐,5.02,tui1 jian4,to recommend; recommendation,yes
596,漂亮,5.02,piao4 liang5,pretty; beautiful,yes
597,相对,5.02,xiang1 dui4,relatively; opposite; to resist; to oppose; relative; vis-a-vis; counterpart,yes
598,秘密,5.02,mi4 mi4,secret; private; confidential; clandestine; a secret (CL:個|个[ge4]),yes
599,程序,5.02,cheng2 xu4,procedures; sequence; order; computer program,yes
600,避免,5.02,bi4 mian3,to avert; to prevent; to avoid; to refrain from,yes
601,链接,5.02,lian4 jie1,to link; to catenate; link (on a web page); hyperlink,yes
602,下午,5.01,xia4 wu3,afternoon; CL:個|个[ge4]; p.m.,yes
603,不可,5.01,bu4 ke3,cannot; should not; must not,yes
604,不够,5.01,bu4 gou4,not enough; insufficient; inadequate,yes
605,习惯,5.01,xi2 guan4,habit; custom; usual practice; to be used to; CL:個|个[ge4],yes
606,书记,5.01,shu1 ji5,secretary (chief official of a branch of a socialist or communist party); clerk; scribe,yes
607,地球,5.01,di4 qiu2,the earth,yes
608,大型,5.01,da4 xing2,large; large-scale,yes
609,巨大,5.01,ju4 da4,huge; immense; enormous; gigantic,yes
610,干部,5.01,gan4 bu4,cadre; official; officer; manager,yes
611,快速,5.01,kuai4 su4,fast; high-speed; rapid,yes
612,敌人,5.01,di2 ren2,enemy; CL:個|个[ge4],yes
613,民众,5.01,min2 zhong4,the populace; the masses; the common people,yes
614,特色,5.01,te4 se4,a characteristic; a distinctive feature or quality,yes
615,男子,5.01,nan2 zi3,a man; a male,yes
616,背景,5.01,bei4 jing3,background; backdrop; context; (fig.) powerful backer,yes
617,著名,5.01,zhu4 ming2,famous; noted; well-known; celebrated,yes
618,认真,5.01,ren4 zhen1,conscientious; earnest; serious; to take seriously; to take to heart,yes
619,身份,5.01,shen1 fen4,"identity; aspect of one's identity (e.g. mayor, father, permanent resident); role; capacity (as in ""in his capacity as .",yes
620,通知,5.01,tong1 zhi1,to notify; to inform; notice; notification; CL:個|个[ge4],yes
621,专门,5.00,zhuan1 men2,specialized; dedicated (to a particular field or purpose); specially; specifically (for a particular purpose); (of insti,yes
622,互联网,5.00,Hu4 lian2 wang3,Internet,yes
623,兴趣,5.00,xing4 qu4,interest (desire to know about sth); interest (thing in which one is interested); hobby; CL:個|个[ge4],yes
624,复杂,5.00,fu4 za2,complicated; complex,yes
625,对方,5.00,dui4 fang1,the other person; the other side; the other party,yes
626,少数,5.00,shao3 shu4,small number; few; minority,yes
627,打开,5.00,da3 kai1,to open; to show (a ticket); to turn on; to switch on,yes
628,指导,5.00,zhi3 dao3,to guide; to direct; to instruct; coach; trainer,yes
629,明确,5.00,ming2 que4,clear-cut; definite; explicit; to clarify; to specify; to make definite,yes
630,比如,5.00,bi3 ru2,for example; for instance; such as,yes
631,法院,5.00,fa3 yuan4,court of law; court,yes
632,犯罪,5.00,fan4 zui4,to commit a crime; crime; offense,yes
633,结婚,5.00,jie2 hun1,to marry; to get married; CL:次[ci4],yes
634,缺乏,5.00,que1 fa2,to lack; to be short of,yes
635,联合国,5.00,Lian2 he2 guo2,United Nations,yes
636,苹果,5.00,Ping2 guo3,Apple (American tech company),yes
637,表演,5.00,biao3 yan3,play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場|场[chang3],yes
638,计算,5.00,ji4 suan4,to calculate; to compute; to consider; to think over; to plot; to scheme,yes
639,货币,5.00,huo4 bi4,currency; monetary; money,yes
640,邀请,5.00,yao1 qing3,to invite; invitation; CL:個|个[ge4],yes
641,高兴,5.00,gao1 xing4,happy; glad; willing (to do sth); in a cheerful mood,yes
642,不得,4.99,bu4 de2,must not; may not; not to be allowed; cannot,yes
643,争取,4.99,zheng1 qu3,to fight for; to strive for; to win over,yes
644,传播,4.99,chuan2 bo1,to disseminate; to propagate; to spread,yes
645,体制,4.99,ti3 zhi4,system; organization,yes
646,南京,4.99,Nan2 jing1,"see 南京市[Nan2 jing1 Shi4]; Nanjing, capital of the Ming dynasty (1368–1421) and of the Republic of China (1927–1937 and 1",yes
647,否则,4.99,fou3 ze2,otherwise; if not; or (else),yes
648,基金,4.99,ji1 jin1,fund,yes
649,学者,4.99,xue2 zhe3,scholar,yes
650,很大,4.99,,,no
651,很快,4.99,,,no
652,我会,4.99,,,no
653,杂志,4.99,za2 zhi4,"magazine; CL:本[ben3],份[fen4],期[qi1]",yes
654,材料,4.99,cai2 liao4,(raw) material; data; (fig.) person who has the potential to do the job,yes
655,核心,4.99,he2 xin1,core; nucleus,yes
656,满足,4.99,man3 zu2,to satisfy; to meet (the needs of); satisfied; content,yes
657,特殊,4.99,te4 shu1,special; particular; unusual; extraordinary,yes
658,电视台,4.99,dian4 shi4 tai2,television station,yes
659,移民,4.99,yi2 min2,to immigrate; to migrate; emigrant; immigrant,yes
660,类型,4.99,lei4 xing2,type; kind; category; (computer programming) type,yes
661,连续,4.99,lian2 xu4,continuous; in a row; serial; consecutive,yes
662,鼓励,4.99,gu3 li4,to encourage,yes
663,优秀,4.98,you1 xiu4,outstanding; excellent,yes
664,刚刚,4.98,gang1 gang5,just recently; just a moment ago,yes
665,因素,4.98,yin1 su4,element; factor; CL:個|个[ge4],yes
666,家里,4.98,jia1 li3,home,yes
667,强烈,4.98,qiang2 lie4,strong; intense,yes
668,手段,4.98,shou3 duan4,method; way; means (of doing sth); skill; ability; trick; wile,yes
669,挑战,4.98,tiao3 zhan4,to challenge; challenge,yes
670,推进,4.98,tui1 jin4,to impel; to carry forward; to push on; to advance; to drive forward,yes
671,措施,4.98,cuo4 shi1,measure; step; CL:個|个[ge4],yes
672,整体,4.98,zheng3 ti3,"whole entity; entire body; synthesis; as a whole (situation, construction, team etc); global; macrocosm; integral; holis",yes
673,显然,4.98,xian3 ran2,clearly; evidently; obviously,yes
674,概念,4.98,gai4 nian4,concept; idea; CL:個|个[ge4],yes
675,看着,4.98,,,no
676,等等,4.98,deng3 deng3,et cetera; and so on ...; wait a minute!; hold on!,yes
677,纽约,4.98,Niu3 yue1,New York,yes
678,美丽,4.98,mei3 li4,beautiful,yes
679,老婆,4.98,lao3 po2,(coll.) wife,yes
680,老板,4.98,lao3 ban3,variant of 老闆|老板[lao3 ban3],yes
681,英文,4.98,Ying1 wen2,English (language),yes
682,警方,4.98,jing3 fang1,police,yes
683,访问,4.98,fang3 wen4,to visit; to call on (a person or place); (computing) to visit (a website); to access (a network resource etc); (Tw) to ,yes
684,评价,4.98,ping2 jia4,to evaluate; to assess,yes
685,贡献,4.98,gong4 xian4,to contribute; to dedicate; to devote; contribution; CL:個|个[ge4],yes
686,财产,4.98,cai2 chan3,property; assets; estate; CL:筆|笔[bi3],yes
687,距离,4.98,ju4 li2,distance; CL:個|个[ge4]; to be apart from,yes
688,重视,4.98,zhong4 shi4,to attach importance to sth; to value,yes
689,食品,4.98,shi2 pin3,foodstuff; food; provisions,yes
690,不好,4.97,bu4 hao3,no good,yes
691,优势,4.97,you1 shi4,superiority; dominance; advantage,yes
692,伤害,4.97,shang1 hai4,to injure; to harm,yes
693,保障,4.97,bao3 zhang4,to ensure; to guarantee; to safeguard,yes
694,博士,4.97,bo2 shi4,doctor (as an academic degree); (old) person specialized in a skill or trade; (old) court academician,yes
695,害怕,4.97,hai4 pa4,to be afraid; to be scared,yes
696,对象,4.97,dui4 xiang4,target; object; partner; boyfriend; girlfriend; CL:個|个[ge4],yes
697,感受,4.97,gan3 shou4,to sense; perception; to feel (through the senses); to experience; a feeling; an impression; an experience,yes
698,投入,4.97,tou2 ru4,to throw into; to put into; to throw oneself into; to participate in; to invest in; absorbed; engrossed,yes
699,最佳,4.97,zui4 jia1,"optimum; optimal; peak; best (athlete, movie etc)",yes
700,法规,4.97,fa3 gui1,legislation; statute,yes
701,漫画,4.97,man4 hua4,caricature; cartoon; Japanese manga,yes
702,物质,4.97,wu4 zhi4,matter; substance; material; materialistic; CL:個|个[ge4],yes
703,生物,4.97,sheng1 wu4,organism; living creature; life form; biological; CL:個|个[ge4],yes
704,移动,4.97,yi2 dong4,to move; movement; migration; mobile; portable,yes
705,翻译,4.97,fan1 yi4,"to translate; to interpret; translator; interpreter; translation; interpretation; CL:個|个[ge4],位[wei4],名[ming2]",yes
706,英雄,4.97,ying1 xiong2,hero; CL:個|个[ge4],yes
707,表达,4.97,biao3 da2,to express; to convey,yes
708,设施,4.97,she4 shi1,facilities; installation,yes
709,队伍,4.97,dui4 wu3,"ranks; troops; queue; line; procession; CL:個|个[ge4],支[zhi1],條|条[tiao2]",yes
710,人人,4.96,ren2 ren2,everyone; every person,yes
711,更好,4.96,,,no
712,最新,4.96,zui4 xin1,latest; newest,yes
713,案件,4.96,an4 jian4,"case; instance; CL:宗[zong1],樁|桩[zhuang1],起[qi3]",yes
714,男性,4.96,nan2 xing4,the male sex; a male,yes
715,福利,4.96,fu2 li4,material benefit; benefit in kind; (social) welfare,yes
716,证据,4.96,zheng4 ju4,evidence; proof; testimony,yes
717,路线,4.96,lu4 xian4,itinerary; route; political line (e.g. right revisionist road); CL:條|条[tiao2],yes
718,迅速,4.96,xun4 su4,rapid; speedy; fast,yes
719,遇到,4.96,yu4 dao4,to meet; to run into; to come across,yes
720,高级,4.96,gao1 ji2,high level; high grade; advanced; high-ranking,yes
721,一件,4.95,,,no
722,一段,4.95,,,no
723,万元,4.95,,,no
724,享受,4.95,xiang3 shou4,to enjoy; to live it up; pleasure; CL:種|种[zhong3],yes
725,亿元,4.95,,,no
726,估计,4.95,gu1 ji4,to estimate; to assess; to calculate; (coll.) to reckon; to think (that ...),yes
727,冲突,4.95,chong1 tu1,conflict; to conflict; clash of opposing forces; collision (of interests); contention,yes
728,发挥,4.95,fa1 hui1,to display; to exhibit; to bring out implicit or innate qualities; to express (a thought or moral); to develop (an idea),yes
729,受伤,4.95,shou4 shang1,to sustain injuries; wounded (in an accident etc); harmed,yes
730,命令,4.95,ming4 ling4,"order; command; CL:道[dao4],個|个[ge4]",yes
731,商品,4.95,shang1 pin3,commodity; goods; merchandise; CL:件[jian4],yes
732,国民,4.95,guo2 min2,nationals; citizens; people of a nation,yes
733,国民党,4.95,Guo2 min2 dang3,Guomindang or Kuomintang (KMT); Nationalist Party,yes
734,境内,4.95,jing4 nei4,"within the borders; internal (to a country, province, city etc); domestic",yes
735,大部分,4.95,da4 bu4 fen5,the greater part; the majority; most; Taiwan pr. [da4bu4fen4],yes
736,海外,4.95,hai3 wai4,overseas; abroad,yes
737,消费,4.95,xiao1 fei4,"to consume (goods and services, resources etc)",yes
738,眼睛,4.95,yan3 jing5,"eye; CL:隻|只[zhi1],雙|双[shuang1]",yes
739,网友,4.95,wang3 you3,online friend; netizen; Internet user,yes
740,西班牙,4.95,Xi1 ban1 ya2,Spain,yes
741,课程,4.95,ke4 cheng2,"course; academic program; CL:堂[tang2],節|节[jie2],門|门[men2]",yes
742,资格,4.95,zi1 ge2,qualifications; seniority,yes
743,超级,4.95,chao1 ji2,super-; ultra-; hyper-,yes
744,难以,4.95,nan2 yi3,"hard to (predict, imagine etc)",yes
745,首次,4.95,shou3 ci4,first; first time; for the first time,yes
746,之中,4.94,zhi1 zhong1,inside; among; in the midst of (doing sth); during,yes
747,修改,4.94,xiu1 gai3,to amend; to alter; to modify,yes
748,培训,4.94,pei2 xun4,to cultivate; to train; to groom; training,yes
749,如今,4.94,ru2 jin1,nowadays; now,yes
750,帝国,4.94,di4 guo2,empire; imperial,yes
751,打击,4.94,da3 ji1,to hit; to strike; to attack; to crack down on sth; blow; (psychological) shock; percussion (music),yes
752,推广,4.94,tui1 guang3,to extend; to spread; to popularize; generalization; promotion (of a product etc),yes
753,提升,4.94,ti2 sheng1,to promote (to a higher-ranking position); to lift; to hoist; (fig.) to elevate; to raise; to improve,yes
754,新加坡,4.94,Xin1 jia1 po1,Singapore,yes
755,机制,4.94,ji1 zhi4,mechanism,yes
756,机器,4.94,ji1 qi4,"machine; CL:臺|台[tai2],部[bu4],個|个[ge4]",yes
757,爆发,4.94,bao4 fa1,to break out; to erupt; to explode; to burst out,yes
758,留下,4.94,liu2 xia4,to leave behind; to stay behind; to remain; to keep; not to let (sb) go,yes
759,社会主义,4.94,she4 hui4 zhu3 yi4,socialism,yes
760,竞争,4.94,jing4 zheng1,to compete; competition,yes
761,第一个,4.94,,,no
762,紧张,4.94,jin3 zhang1,nervous; keyed up; intense; tense; strained; in short supply; scarce; CL:陣|阵[zhen4],yes
763,纪念,4.94,ji4 nian4,to commemorate; to honor the memory of; memento; keepsake; souvenir,yes
764,集中,4.94,ji2 zhong1,to concentrate; to centralize; to focus; centralized; concentrated; to put together,yes
765,食物,4.94,shi2 wu4,food,yes
766,不知,4.93,bu4 zhi1,"not to know; unaware; unknowingly; fig. not to admit (defeat, hardships, tiredness etc)",yes
767,不足,4.93,bu4 zu2,insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not,yes
768,东北,4.93,Dong1 bei3,Northeast China; Manchuria,yes
769,事务,4.93,shi4 wu4,"(political, economic etc) affairs; work; transaction (as in a computer database)",yes
770,充满,4.93,chong1 man3,full of; brimming with; very full; permeated,yes
771,区别,4.93,qu1 bie2,difference; to distinguish; to discriminate; to make a distinction; CL:個|个[ge4],yes
772,反映,4.93,fan3 ying4,to mirror; to reflect; mirror image; reflection; (fig.) to report; to make known; to render,yes
773,名称,4.93,ming2 cheng1,name (of a thing); name (of an organization),yes
774,吸引,4.93,xi1 yin3,to attract; to appeal to; to fascinate,yes
775,哥哥,4.93,ge1 ge5,"older brother; CL:個|个[ge4],位[wei4]",yes
776,处于,4.93,chu3 yu2,"to be in (some state, position, or condition)",yes
777,娱乐,4.93,yu2 le4,to entertain; to amuse; entertainment; recreation; amusement; hobby; fun; joy,yes
778,实验,4.93,shi2 yan4,"experiment; test; CL:個|个[ge4],次[ci4]; experimental; to experiment",yes
779,展开,4.93,zhan3 kai1,to unfold; to spread out; to open up; to launch; to carry out,yes
780,形象,4.93,xing2 xiang4,image; form; figure; CL:個|个[ge4]; visualization; vivid,yes
781,打算,4.93,da3 suan4,to plan; to intend; to calculate; plan; intention; calculation; CL:個|个[ge4],yes
782,收到,4.93,shou1 dao4,to receive,yes
783,教学,4.93,jiao1 xue2,to teach (as a professor),yes
784,斗争,4.93,dou4 zheng1,a struggle; fight; battle,yes
785,机械,4.93,ji1 xie4,machine; machinery; mechanical; (old) cunning; scheming,yes
786,澳门,4.93,Ao4 men2,"Macao or Macau, special administrative region (SAR) of the PRC (abbr. to 澳[Ao4])",yes
787,用于,4.93,yong4 yu2,to use in; to use on; to use for,yes
788,符合,4.93,fu2 he2,in accordance with; to agree with; to conform to; to meet (a requirement); (physics) coincidence,yes
789,粮食,4.93,liang2 shi5,foodstuff; cereals; CL:種|种[zhong3],yes
790,给予,4.93,ji3 yu3,(literary) to give; to accord; to render,yes
791,维持,4.93,wei2 chi2,to keep; to maintain; to preserve,yes
792,这件,4.93,,,no
793,非洲,4.93,Fei1 zhou1,Africa; abbr. for 阿非利加洲[A1 fei1 li4 jia1 Zhou1],yes
794,团结,4.92,tuan2 jie2,to unite; unity; solidarity; united,yes
795,天津,4.92,Tian1 jin1,Tianjin municipality (abbr. to 津[Jin1]),yes
796,好好,4.92,hao3 hao3,well; carefully; nicely; properly,yes
797,实际上,4.92,shi2 ji4 shang4,in fact; in reality; as a matter of fact; in practice,yes
798,客户,4.92,ke4 hu4,client; customer,yes
799,强大,4.92,qiang2 da4,big and strong; formidable; powerful,yes
800,彻底,4.92,che4 di3,thorough; thoroughly; complete,yes
801,批准,4.92,pi1 zhun3,to approve; to ratify,yes
802,武汉,4.92,Wu3 han4,see 武漢市|武汉市[Wu3 han4 Shi4],yes
803,比例,4.92,bi3 li4,proportion; scale,yes
804,生态,4.92,sheng1 tai4,ecology (the study of interactions between organisms and their environment); ecological state (the condition or health o,yes
805,观察,4.92,guan1 cha2,to observe; to watch; to survey,yes
806,规范,4.92,gui1 fan4,norm; standard; specification; regulation; rule; within the rules; to fix rules; to regulate; to specify,yes
807,运输,4.92,yun4 shu1,to transport; to carry; transportation,yes
808,降低,4.92,jiang4 di1,to reduce; to lower; to bring down,yes
809,非法,4.92,fei1 fa3,illegal,yes
810,风格,4.92,feng1 ge2,style,yes
811,中华人民共和国,4.91,Zhong1 hua2 Ren2 min2 Gong4 he2 guo2,People's Republic of China,yes
812,使得,4.91,shi3 de5,usable; serviceable; feasible; workable; doable; to make; to cause; to bring about,yes
813,听说,4.91,ting1 shuo1,to hear (sth said); one hears (that); hearsay; listening and speaking,yes
814,培养,4.91,pei2 yang3,to cultivate; to breed; to foster; to nurture; to educate; to groom (for a position); education; fostering; culture (bio,yes
815,并非,4.91,bing4 fei1,really isn't,yes
816,心里,4.91,xin1 li5,chest; heart; mind,yes
817,怀疑,4.91,huai2 yi2,to doubt (sth); to be skeptical of; to have one's doubts; to harbor suspicions; to suspect that,yes
818,性质,4.91,xing4 zhi4,nature; characteristic; CL:個|个[ge4],yes
819,成本,4.91,cheng2 ben3,"(manufacturing, production etc) costs",yes
820,描述,4.91,miao2 shu4,to describe; description,yes
821,操作,4.91,cao1 zuo4,to work; to operate; to manipulate,yes
822,注册,4.91,zhu4 ce4,to register; to enroll,yes
823,测试,4.91,ce4 shi4,to test (machinery etc); to test (a person's skill in a particular area); a test; (computing) beta (version of software),yes
824,私人,4.91,si1 ren2,private; personal; interpersonal; sb with whom one has a close personal relationship; a member of one's clique,yes
825,网上,4.91,wang3 shang4,online,yes
826,考试,4.91,kao3 shi4,to take an exam; exam; CL:次[ci4],yes
827,而已,4.91,er2 yi3,that's all; nothing more,yes
828,资产,4.91,zi1 chan3,property; assets,yes
829,一项,4.90,,,no
830,升级,4.90,sheng1 ji2,to go up by one grade; to be promoted; to escalate (in intensity); (computing) to upgrade,yes
831,完整,4.90,wan2 zheng3,complete; intact,yes
832,审查,4.90,shen3 cha2,to examine; to investigate; to censor out; censorship,yes
833,情绪,4.90,qing2 xu4,mood; state of mind; moodiness; CL:種|种[zhong3],yes
834,消失,4.90,xiao1 shi1,to disappear; to fade away,yes
835,深圳,4.90,Shen1 zhen4,see 深圳市[Shen1 zhen4 Shi4],yes
836,游行,4.90,you2 xing2,to march; to parade; to demonstrate; procession; march; demonstration; to travel around; to roam,yes
837,直播,4.90,zhi2 bo1,"(TV, radio) to broadcast live; live broadcast; (Internet) to livestream; (agriculture) direct seeding",yes
838,确保,4.90,que4 bao3,to ensure; to guarantee,yes
839,禁止,4.90,jin4 zhi3,to prohibit; to forbid; to ban,yes
840,良好,4.90,liang2 hao3,good; favorable; well; fine,yes
841,衣服,4.90,yi1 fu5,"clothes; CL:件[jian4],套[tao4]",yes
842,领导人,4.90,ling3 dao3 ren2,leader,yes
843,一步,4.89,,,no
844,依然,4.89,yi1 ran2,still; as before,yes
845,包含,4.89,bao1 han2,to contain; to embody; to include,yes
846,卫生,4.89,wei4 sheng1,hygienic; sanitary; hygiene; sanitation,yes
847,实践,4.89,shi2 jian4,practice; to put into practice; to live up to (a promise); to carry out (a project),yes
848,忘记,4.89,wang4 ji4,to forget,yes
849,投票,4.89,tou2 piao4,to vote; vote,yes
850,接触,4.89,jie1 chu4,to touch; to contact; access; in touch with,yes
851,放在,4.89,,,no
852,构成,4.89,gou4 cheng2,to constitute; to form; to compose; to make up; to configure (computing),yes
853,某些,4.89,mou3 xie1,some; certain (things),yes
854,民间,4.89,min2 jian1,among the people; popular; folk; non-governmental; involving people rather than governments,yes
855,爱情,4.89,ai4 qing2,romance; love (romantic); CL:份[fen4],yes
856,特征,4.89,te4 zheng1,characteristic; diagnostic property; distinctive feature; trait,yes
857,石油,4.89,shi2 you2,oil; petroleum,yes
858,道德,4.89,dao4 de2,virtue; morality; ethics; CL:種|种[zhong3],yes
859,高度,4.89,gao1 du4,height; altitude; elevation; high degree; highly; CL:個|个[ge4],yes
860,三年,4.88,,,no
861,不敢,4.88,,,no
862,严格,4.88,yan2 ge2,strict; stringent; tight; rigorous,yes
863,大概,4.88,da4 gai4,roughly; probably; rough; approximate; about; general idea,yes
864,审判,4.88,shen3 pan4,a trial; to try sb,yes
865,尊重,4.88,zun1 zhong4,to esteem; to respect; to honor; to value; eminent; serious; proper,yes
866,小姐,4.88,xiao3 jie5,"young lady; miss; (slang) prostitute; CL:個|个[ge4],位[wei4]",yes
867,巴黎,4.88,Ba1 li2,"Paris, capital of France",yes
868,平等,4.88,ping2 deng3,equal; equality,yes
869,引发,4.88,yin3 fa1,to lead to; to trigger; to initiate; to cause; to evoke (emotions),yes
870,当局,4.88,dang1 ju2,authorities,yes
871,普遍,4.88,pu3 bian4,universal; general; widespread; common,yes
872,毕竟,4.88,bi4 jing4,after all; all in all; when all is said and done; in the final analysis,yes
873,爸爸,4.88,ba4 ba5,"(coll.) father; dad; CL:個|个[ge4],位[wei4]",yes
874,监狱,4.88,jian1 yu4,prison,yes
875,联邦,4.88,lian2 bang1,federal; federation; commonwealth; federal union; federal state; union,yes
876,读者,4.88,du2 zhe3,reader,yes
877,费用,4.88,fei4 yong4,"cost; expenditure; expense; CL:筆|笔[bi3],個|个[ge4]",yes
878,违法,4.88,wei2 fa3,illegal; to break the law,yes
879,酒店,4.88,jiu3 dian4,wine shop; pub (public house); hotel; restaurant; (Tw) hostess club,yes
880,共有,4.87,gong4 you3,in total there are ...; to own jointly,yes
881,关闭,4.87,guan1 bi4,"to close; to shut (a window etc); (of a shop, school etc) to shut down",yes
882,冠军,4.87,guan4 jun1,champion,yes
883,出席,4.87,chu1 xi2,to attend; to participate; present,yes
884,判断,4.87,pan4 duan4,to judge; to determine; judgment,yes
885,势力,4.87,shi4 li5,"power; influence; a force (military, political etc)",yes
886,品牌,4.87,pin3 pai2,brand name; trademark,yes
887,导演,4.87,dao3 yan3,to direct; director (film etc),yes
888,小组,4.87,xiao3 zu3,group,yes
889,年度,4.87,nian2 du4,"year (e.g. school year, fiscal year); annual",yes
890,广播,4.87,guang3 bo1,broadcast; CL:個|个[ge4]; broadcasting; to broadcast; (formal) to propagate; to publicize,yes
891,拍摄,4.87,pai1 she4,to take (a picture); to shoot (a film),yes
892,有个,4.87,,,no
893,疯狂,4.87,feng1 kuang2,crazy; frenzied; wild,yes
894,趋势,4.87,qu1 shi4,trend; tendency,yes
895,足够,4.87,zu2 gou4,enough; sufficient,yes
896,转移,4.87,zhuan3 yi2,to shift; to relocate; to transfer; (fig.) to shift (attention); to change (the subject etc); (medicine) to metastasize,yes
897,预算,4.87,yu4 suan4,budget,yes
898,一份,4.86,,,no
899,一句,4.86,yi1 ju4,a line of verse; a sentence,yes
900,一部,4.86,,,no
901,任何人,4.86,,,no
902,分类,4.86,fen1 lei4,to classify,yes
903,协助,4.86,xie2 zhu4,to provide assistance; to aid,yes
904,城镇,4.86,cheng2 zhen4,town; cities and towns,yes
905,姐姐,4.86,jie3 jie5,older sister; CL:個|个[ge4],yes
906,家族,4.86,jia1 zu2,family; clan,yes
907,就算,4.86,jiu4 suan4,(coll.) even if,yes
908,往往,4.86,wang3 wang3,usually; in many cases; more often than not,yes
909,抗议,4.86,kang4 yi4,to protest; protest,yes
910,损失,4.86,sun3 shi1,loss; damage; CL:個|个[ge4]; to lose; to suffer damage,yes
911,时刻,4.86,shi2 ke4,"time; juncture; moment; period of time; CL:個|个[ge4],段[duan4]; constantly; always",yes
912,本人,4.86,ben3 ren2,I; me; myself; oneself; yourself; himself; herself; the person concerned,yes
913,来看,4.86,,,no
914,标志,4.86,biao1 zhi4,sign; mark; symbol; logo; to symbolize; to indicate; to mark,yes
915,梦想,4.86,meng4 xiang3,(fig.) to dream of; dream,yes
916,痛苦,4.86,tong4 ku3,pain; suffering; painful; CL:個|个[ge4],yes
917,的确,4.86,di2 que4,really; indeed,yes
918,确认,4.86,que4 ren4,to confirm; to verify; confirmation,yes
919,立场,4.86,li4 chang3,position; standpoint; CL:個|个[ge4],yes
920,网页,4.86,wang3 ye4,web page,yes
921,重庆,4.86,Chong2 qing4,Chongqing municipality (abbr. to 渝[Yu2]),yes
922,预测,4.86,yu4 ce4,to forecast; to predict,yes
923,频道,4.86,pin2 dao4,frequency; (television) channel,yes
924,之外,4.85,zhi1 wai4,outside; excluding,yes
925,信号,4.85,xin4 hao4,signal,yes
926,像是,4.85,,,no
927,刚才,4.85,gang1 cai2,just now; a moment ago,yes
928,名单,4.85,ming2 dan1,list of names,yes
929,地震,4.85,di4 zhen4,earthquake,yes
930,展示,4.85,zhan3 shi4,to reveal; to display; to show; to exhibit,yes
931,年龄,4.85,nian2 ling2,"(a person's) age; CL:把[ba3],個|个[ge4]",yes
932,应当,4.85,ying1 dang1,should; ought to,yes
933,微信,4.85,Wei1 xin4,Weixin or WeChat (mobile text and voice messaging service developed by Tencent 騰訊|腾讯[Teng2 xun4]),yes
934,接近,4.85,jie1 jin4,to approach; to get close to,yes
935,森林,4.85,sen1 lin2,forest; CL:片[pian4],yes
936,江苏,4.85,Jiang1 su1,see 江蘇省|江苏省[Jiang1 su1 Sheng3],yes
937,涉及,4.85,she4 ji2,to involve; to relate to; to concern; to touch upon,yes
938,演员,4.85,yan3 yuan2,actor; actress; performer,yes
939,补充,4.85,bu3 chong1,to replenish; to supplement; to complement; additional; supplementary; CL:個|个[ge4],yes
940,贷款,4.85,dai4 kuan3,a loan; CL:筆|笔[bi3]; to provide a loan (e.g. bank); to raise a loan (from e.g. a bank),yes
941,遭到,4.85,zao1 dao4,to suffer; to meet with (sth unfortunate),yes
942,阻止,4.85,zu3 zhi3,to prevent; to block,yes
943,上帝,4.84,Shang4 di4,God,yes
944,上述,4.84,shang4 shu4,aforementioned; above-mentioned,yes
945,临时,4.84,lin2 shi2,as the time draws near; at the last moment; temporary; interim; ad hoc,yes
946,争议,4.84,zheng1 yi4,controversy; dispute; to dispute,yes
947,命运,4.84,ming4 yun4,fate; destiny; CL:個|个[ge4],yes
948,地图,4.84,di4 tu2,"map; CL:張|张[zhang1],本[ben3]",yes
949,声明,4.84,sheng1 ming2,"to state; to declare; statement; declaration; CL:項|项[xiang4],份[fen4]",yes
950,多次,4.84,duo1 ci4,many times; repeatedly,yes
951,始终,4.84,shi3 zhong1,from beginning to end; all along,yes
952,实力,4.84,shi2 li4,strength,yes
953,小孩,4.84,xiao3 hai2,child; CL:個|个[ge4],yes
954,幸福,4.84,xing4 fu2,happiness; happy; blessed,yes
955,新疆,4.84,Xin1 jiang1,see 新疆維吾爾自治區|新疆维吾尔自治区[Xin1 jiang1 Wei2 wu2 er3 Zi4 zhi4 qu1],yes
