rank_among_missing,simplified,zipf,pinyin,meaning_cedict,in_cedict
79,资料,5.62,zi1 liao4,"material; resources; data; information; profile (Internet); CL:份[fen4],個|个[ge4]",yes
80,这是,5.62,,,no
81,关于,5.61,guan1 yu2,pertaining to; concerning; with regard to; about; a matter of,yes
82,孩子,5.61,hai2 zi5,child,yes
83,部分,5.60,bu4 fen5,part; portion; piece; Taiwan pr. [bu4fen4],yes
84,非常,5.59,fei1 chang2,very; really; unusual; extraordinary,yes
85,台湾,5.58,Tai2 wan1,variant of 臺灣|台湾[Tai2 wan1],yes
86,建设,5.58,jian4 she4,to build; to construct; to establish; to develop; to institute,yes
87,新闻,5.58,xin1 wen2,"news; CL:條|条[tiao2],個|个[ge4]",yes
88,参加,5.57,can1 jia1,to participate; to take part; to join,yes
89,那些,5.57,na4 xie1,those,yes
90,单位,5.56,dan1 wei4,"unit (of measure); unit (group of people as a whole); work unit (place of employment, esp. in the PRC prior to economic ",yes
91,建立,5.56,jian4 li4,to establish; to set up; to found,yes
92,得到,5.56,de2 dao4,to get; to obtain; to receive,yes
93,国内,5.55,guo2 nei4,domestic; internal (to a country); civil,yes
94,委员会,5.55,wei3 yuan2 hui4,committee; commission,yes
95,选择,5.55,xuan3 ze2,to select; to pick; choice; option; alternative,yes
96,一切,5.54,yi1 qie4,everything; every; all,yes
97,一次,5.54,yi1 ci4,first; first time; once; (math.) linear (of degree one),yes
98,无法,5.54,wu2 fa3,unable to; incapable of,yes
99,管理,5.54,guan3 li3,to supervise; to manage; to administer; management; administration; CL:個|个[ge4],yes
100,能够,5.54,neng2 gou4,to be capable of; to be able to; can,yes
101,记者,5.54,ji4 zhe3,reporter; journalist; CL:個|个[ge4],yes
102,领导,5.54,ling3 dao3,"lead; leading; to lead; leadership; leader; CL:位[wei4],個|个[ge4]",yes
103,上海,5.53,Shang4 hai3,Shanghai municipality (abbr. to 滬|沪[Hu4]),yes
104,一般,5.52,yi1 ban1,same; ordinary; so-so; common; general; generally; in general,yes
105,环境,5.52,huan2 jing4,environment; circumstances; surroundings; CL:個|个[ge4]; ambient,yes
106,网络,5.52,Wang3 luo4,Internet,yes
107,保护,5.51,bao3 hu4,to protect; to defend; to safeguard; protection; CL:種|种[zhong3],yes
108,民主,5.51,min2 zhu3,democracy; democratic,yes
109,甚至,5.51,shen4 zhi4,even; so much so that,yes
110,机构,5.50,ji1 gou4,mechanism; structure; organization; agency; institution; CL:所[suo3],yes
111,法律,5.50,fa3 lu:4,"law; CL:條|条[tiao2], 套[tao4], 個|个[ge4]",yes
112,视频,5.50,shi4 pin2,video,yes
113,过程,5.50,guo4 cheng2,course of events; process; CL:個|个[ge4],yes
114,准备,5.49,zhun3 bei4,preparation; to prepare; to intend; to be about to; reserve (fund),yes
115,直接,5.49,zhi2 jie1,direct (opposite: indirect 間接|间接[jian4 jie1]); immediate; straightforward,yes
116,设计,5.49,she4 ji4,to design; to plan; design; plan,yes
117,之间,5.48,zhi1 jian1,(after a noun) between; among; amid; (used after certain bisyllabic words to form expressions indicating a short period ,yes
118,事情,5.48,shi4 qing5,"affair; matter; thing; business; CL:件[jian4],樁|桩[zhuang1]",yes
119,哪里,5.48,na3 li3,where?; somewhere; anywhere; wherever; nowhere (negative answer to question); humble expression denying compliment; also,yes
120,存在,5.48,cun2 zai4,to exist; to be; existence,yes
121,总统,5.48,zong3 tong3,"president (of a country); CL:個|个[ge4],位[wei4],名[ming2],屆|届[jie4]",yes
122,或者,5.48,huo4 zhe3,or; possibly; maybe; perhaps,yes
123,战争,5.48,zhan4 zheng1,"war; conflict; CL:場|场[chang2],次[ci4]",yes
124,报告,5.48,bao4 gao4,"to inform; to report; to make known; report; speech; talk; lecture; CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]",yes
125,最大,5.48,,,no
126,比较,5.48,bi3 jiao4,to compare; to contrast; comparatively; relatively; quite; comparison,yes
127,照片,5.48,zhao4 pian4,"photograph; picture; CL:張|张[zhang1],套[tao4],幅[fu2]",yes
128,英国,5.48,Ying1 guo2,United Kingdom (UK); Britain,yes
129,接受,5.47,jie1 shou4,"to accept (a suggestion, punishment, bribe etc); to acquiesce",yes
130,改变,5.47,gai3 bian4,to change; to alter; to transform,yes
131,政策,5.47,zheng4 ce4,policy; CL:個|个[ge4],yes
132,时期,5.47,shi2 qi1,period; phase; CL:個|个[ge4],yes
133,科技,5.47,ke1 ji4,science and technology,yes
134,不断,5.46,bu4 duan4,unceasing; uninterrupted; continuous; constant,yes
135,以后,5.46,yi3 hou4,after; later; afterwards; following; later on; in the future,yes
136,故事,5.46,gu4 shi4,old practice,yes
137,有些,5.46,you3 xie1,some; somewhat,yes
138,认识,5.46,ren4 shi5,to know; to recognize; to be familiar with; to get acquainted with sb; knowledge; understanding; awareness; cognition,yes
139,资源,5.46,Zi1 yuan2,see 資源縣|资源县[Zi1 yuan2 Xian4],yes
140,集团,5.46,ji2 tuan2,group; bloc; corporation; conglomerate,yes
141,专业,5.45,zhuan1 ye4,"specialty; specialized field; main field of study (at university); major; CL:門|门[men2],個|个[ge4]; professional",yes
142,之前,5.45,zhi1 qian2,before; prior to; ago; previously; beforehand,yes
143,任务,5.45,ren4 wu5,"mission; assignment; task; duty; role; CL:項|项[xiang4],個|个[ge4]",yes
144,参与,5.45,can1 yu4,to participate (in sth),yes
145,是否,5.45,shi4 fou3,whether (or not); if; is or isn't,yes
146,科学,5.45,ke1 xue2,"science; scientific knowledge; scientific; rational; CL:門|门[men2],個|个[ge4],種|种[zhong3]",yes
147,规定,5.45,gui1 ding4,to stipulate; to specify; to prescribe; to fix (a price); to set (a quota); regulations; rules; provisions; stipulations,yes
148,举行,5.44,ju3 xing2,"to hold (a meeting, ceremony etc)",yes
